	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group	strand
54	CNhs10641+	path/to/data/coverage+.w5	768	384	1.0	sum	55	CAGE:parietal lobe, adult, pool1	cage	fantom	fantom	+
56	CNhs10642+	path/to/data/coverage+.w5	768	384	1.0	sum	57	CAGE:paracentral gyrus, adult, pool1	cage	fantom	fantom	+
58	CNhs10643+	path/to/data/coverage+.w5	768	384	1.0	sum	59	CAGE:occipital pole, adult, pool1	cage	fantom	fantom	+
60	CNhs10644+	path/to/data/coverage+.w5	768	384	1.0	sum	61	CAGE:nucleus accumbens, adult, pool1	cage	fantom	fantom	+
62	CNhs10645+	path/to/data/coverage+.w5	768	384	1.0	sum	63	CAGE:medulla oblongata, adult, pool1	cage	fantom	fantom	+
64	CNhs10646+	path/to/data/coverage+.w5	768	384	1.0	sum	65	CAGE:insula, adult, pool1	cage	fantom	fantom	+
66	CNhs10647+	path/to/data/coverage+.w5	768	384	1.0	sum	67	CAGE:frontal lobe, adult, pool1	cage	fantom	fantom	+
68	CNhs10648+	path/to/data/coverage+.w5	768	384	1.0	sum	69	CAGE:dura mater, adult,	cage	fantom	fantom	+
70	CNhs10649+	path/to/data/coverage+.w5	768	384	1.0	sum	71	CAGE:corpus callosum, adult, pool1	cage	fantom	fantom	+
72	CNhs10650+	path/to/data/coverage+.w5	768	384	1.0	sum	73	CAGE:thymus, fetal, pool1	cage	fantom	fantom	+
74	CNhs10651+	path/to/data/coverage+.w5	768	384	1.0	sum	75	CAGE:spleen, fetal, pool1	cage	fantom	fantom	+
76	CNhs10652+	path/to/data/coverage+.w5	768	384	1.0	sum	77	CAGE:kidney, fetal, pool1	cage	fantom	fantom	+
78	CNhs10653+	path/to/data/coverage+.w5	768	384	1.0	sum	79	CAGE:heart, fetal, pool1	cage	fantom	fantom	+
80	CNhs10654+	path/to/data/coverage+.w5	768	384	1.0	sum	81	CAGE:tonsil, adult, pool1	cage	fantom	fantom	+
82	CNhs10722+	path/to/data/coverage+.w5	768	384	1.0	sum	83	CAGE:acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	cage	fantom	fantom	+
84	CNhs10723+	path/to/data/coverage+.w5	768	384	1.0	sum	85	CAGE:acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	cage	fantom	fantom	+
86	CNhs10724+	path/to/data/coverage+.w5	768	384	1.0	sum	87	CAGE:acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	cage	fantom	fantom	+
88	CNhs10726+	path/to/data/coverage+.w5	768	384	1.0	sum	89	CAGE:lung adenocarcinoma cell line:PC-14	cage	fantom	fantom	+
90	CNhs10727+	path/to/data/coverage+.w5	768	384	1.0	sum	91	CAGE:chronic myelogenous leukemia cell line:KU812	cage	fantom	fantom	+
92	CNhs10728+	path/to/data/coverage+.w5	768	384	1.0	sum	93	CAGE:extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS	cage	fantom	fantom	+
94	CNhs10729+	path/to/data/coverage+.w5	768	384	1.0	sum	95	CAGE:renal cell carcinoma cell line:OS-RC-2	cage	fantom	fantom	+
96	CNhs10730+	path/to/data/coverage+.w5	768	384	1.0	sum	97	CAGE:malignant trichilemmal cyst cell line:DJM-1	cage	fantom	fantom	+
98	CNhs10731+	path/to/data/coverage+.w5	768	384	1.0	sum	99	CAGE:glioma cell line:GI-1	cage	fantom	fantom	+
100	CNhs10732+	path/to/data/coverage+.w5	768	384	1.0	sum	101	CAGE:maxillary sinus tumor cell line:HSQ-89	cage	fantom	fantom	+
102	CNhs10733+	path/to/data/coverage+.w5	768	384	1.0	sum	103	CAGE:gall bladder carcinoma cell line:TGBC2TKB	cage	fantom	fantom	+
104	CNhs10734+	path/to/data/coverage+.w5	768	384	1.0	sum	105	CAGE:papillotubular adenocarcinoma cell line:TGBC18TKB	cage	fantom	fantom	+
106	CNhs10735+	path/to/data/coverage+.w5	768	384	1.0	sum	107	CAGE:transitional-cell carcinoma cell line:5637	cage	fantom	fantom	+
108	CNhs10736+	path/to/data/coverage+.w5	768	384	1.0	sum	109	CAGE:breast carcinoma cell line:MDA-MB-453	cage	fantom	fantom	+
110	CNhs10737+	path/to/data/coverage+.w5	768	384	1.0	sum	111	CAGE:colon carcinoma cell line:COLO-320	cage	fantom	fantom	+
112	CNhs10738+	path/to/data/coverage+.w5	768	384	1.0	sum	113	CAGE:adult T-cell leukemia cell line:ATN-1	cage	fantom	fantom	+
114	CNhs10739+	path/to/data/coverage+.w5	768	384	1.0	sum	115	CAGE:Burkitt's lymphoma cell line:DAUDI	cage	fantom	fantom	+
116	CNhs10740+	path/to/data/coverage+.w5	768	384	1.0	sum	117	CAGE:choriocarcinoma cell line:BeWo	cage	fantom	fantom	+
118	CNhs10741+	path/to/data/coverage+.w5	768	384	1.0	sum	119	CAGE:splenic lymphoma with villous lymphocytes cell line:SLVL	cage	fantom	fantom	+
120	CNhs10742+	path/to/data/coverage+.w5	768	384	1.0	sum	121	CAGE:astrocytoma cell line:TM-31	cage	fantom	fantom	+
122	CNhs10743+	path/to/data/coverage+.w5	768	384	1.0	sum	123	CAGE:epidermoid carcinoma cell line:A431	cage	fantom	fantom	+
124	CNhs10744+	path/to/data/coverage+.w5	768	384	1.0	sum	125	CAGE:b cell line:RPMI1788	cage	fantom	fantom	+
126	CNhs10745+	path/to/data/coverage+.w5	768	384	1.0	sum	127	CAGE:anaplastic carcinoma cell line:8305C	cage	fantom	fantom	+
128	CNhs10746+	path/to/data/coverage+.w5	768	384	1.0	sum	129	CAGE:acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	cage	fantom	fantom	+
130	CNhs10747+	path/to/data/coverage+.w5	768	384	1.0	sum	131	CAGE:non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK	cage	fantom	fantom	+
132	CNhs10748+	path/to/data/coverage+.w5	768	384	1.0	sum	133	CAGE:epidermoid carcinoma cell line:Ca Ski	cage	fantom	fantom	+
134	CNhs10750+	path/to/data/coverage+.w5	768	384	1.0	sum	135	CAGE:bile duct carcinoma cell line:HuCCT1	cage	fantom	fantom	+
136	CNhs10751+	path/to/data/coverage+.w5	768	384	1.0	sum	137	CAGE:giant cell carcinoma cell line:Lu99B	cage	fantom	fantom	+
138	CNhs10752+	path/to/data/coverage+.w5	768	384	1.0	sum	139	CAGE:oral squamous cell carcinoma cell line:Ca9-22	cage	fantom	fantom	+
140	CNhs10753+	path/to/data/coverage+.w5	768	384	1.0	sum	141	CAGE:signet ring carcinoma cell line:Kato III	cage	fantom	fantom	+
142	CNhs12495+	path/to/data/coverage+.w5	768	384	1.0	sum	143	CAGE:Endothelial Cells - Aortic,	cage	fantom	fantom	+
144	CNhs11309+	path/to/data/coverage+.w5	768	384	1.0	sum	145	CAGE:Smooth Muscle Cells - Aortic,	cage	fantom	fantom	+
146	CNhs10839+	path/to/data/coverage+.w5	768	384	1.0	sum	147	CAGE:Smooth Muscle Cells - Umbilical artery,	cage	fantom	fantom	+
148	CNhs10842+	path/to/data/coverage+.w5	768	384	1.0	sum	149	CAGE:Retinal Pigment Epithelial Cells,	cage	fantom	fantom	+
150	CNhs10843+	path/to/data/coverage+.w5	768	384	1.0	sum	151	CAGE:Urothelial cells,	cage	fantom	fantom	+
152	CNhs10844+	path/to/data/coverage+.w5	768	384	1.0	sum	153	CAGE:Mesenchymal stem cells - adipose,	cage	fantom	fantom	+
154	CNhs10845+	path/to/data/coverage+.w5	768	384	1.0	sum	155	CAGE:Mesenchymal stem cells - hepatic,	cage	fantom	fantom	+
156	CNhs10846+	path/to/data/coverage+.w5	768	384	1.0	sum	157	CAGE:Mesenchymal Stem Cells - Vertebral,	cage	fantom	fantom	+
158	CNhs10847+	path/to/data/coverage+.w5	768	384	1.0	sum	159	CAGE:Sebocyte,	cage	fantom	fantom	+
160	CNhs10848+	path/to/data/coverage+.w5	768	384	1.0	sum	161	CAGE:Fibroblast - Gingival,  (GFH2)	cage	fantom	fantom	+
162	CNhs12197+	path/to/data/coverage+.w5	768	384	1.0	sum	163	CAGE:Mesothelial Cells,	cage	fantom	fantom	+
164	CNhs11974+	path/to/data/coverage+.w5	768	384	1.0	sum	165	CAGE:Sertoli Cells,	cage	fantom	fantom	+
166	CNhs11954+	path/to/data/coverage+.w5	768	384	1.0	sum	167	CAGE:CD14+ Monocytes,	cage	fantom	fantom	+
168	CNhs10853+	path/to/data/coverage+.w5	768	384	1.0	sum	169	CAGE:CD4+ T Cells,	cage	fantom	fantom	+
170	CNhs11999+	path/to/data/coverage+.w5	768	384	1.0	sum	171	CAGE:CD8+ T Cells,	cage	fantom	fantom	+
172	CNhs11062+	path/to/data/coverage+.w5	768	384	1.0	sum	173	CAGE:Dendritic Cells - monocyte immature derived, , tech_	cage	fantom	fantom	+
174	CNhs12200+	path/to/data/coverage+.w5	768	384	1.0	sum	175	CAGE:Dendritic Cells - plasmacytoid,	cage	fantom	fantom	+
176	CNhs11904+	path/to/data/coverage+.w5	768	384	1.0	sum	177	CAGE:CD14+ monocyte derived endothelial progenitor cells,	cage	fantom	fantom	+
178	CNhs11957+	path/to/data/coverage+.w5	768	384	1.0	sum	179	CAGE:Natural Killer Cells,	cage	fantom	fantom	+
180	CNhs10860+	path/to/data/coverage+.w5	768	384	1.0	sum	181	CAGE:Peripheral Blood Mononuclear Cells,	cage	fantom	fantom	+
182	CNhs12003+	path/to/data/coverage+.w5	768	384	1.0	sum	183	CAGE:Macrophage - monocyte derived,	cage	fantom	fantom	+
184	CNhs11959+	path/to/data/coverage+.w5	768	384	1.0	sum	185	CAGE:Neutrophils,	cage	fantom	fantom	+
186	CNhs12004+	path/to/data/coverage+.w5	768	384	1.0	sum	187	CAGE:Smooth Muscle Cells - Brain Vascular,	cage	fantom	fantom	+
188	CNhs11960+	path/to/data/coverage+.w5	768	384	1.0	sum	189	CAGE:Astrocyte - cerebral cortex,	cage	fantom	fantom	+
190	CNhs10865+	path/to/data/coverage+.w5	768	384	1.0	sum	191	CAGE:Endothelial Cells - Lymphatic,	cage	fantom	fantom	+
192	CNhs10866+	path/to/data/coverage+.w5	768	384	1.0	sum	193	CAGE:Fibroblast - Gingival,	cage	fantom	fantom	+
194	CNhs11962+	path/to/data/coverage+.w5	768	384	1.0	sum	195	CAGE:Fibroblast - Periodontal Ligament,	cage	fantom	fantom	+
196	CNhs10868+	path/to/data/coverage+.w5	768	384	1.0	sum	197	CAGE:Smooth Muscle Cells - Colonic,	cage	fantom	fantom	+
198	CNhs11964+	path/to/data/coverage+.w5	768	384	1.0	sum	199	CAGE:Skeletal Muscle Satellite Cells,	cage	fantom	fantom	+
200	CNhs11908+	path/to/data/coverage+.w5	768	384	1.0	sum	201	CAGE:Myoblast,	cage	fantom	fantom	+
202	CNhs11966+	path/to/data/coverage+.w5	768	384	1.0	sum	203	CAGE:Ciliary Epithelial Cells,	cage	fantom	fantom	+
204	CNhs10872+	path/to/data/coverage+.w5	768	384	1.0	sum	205	CAGE:Endothelial Cells - Umbilical vein,	cage	fantom	fantom	+
206	CNhs12011+	path/to/data/coverage+.w5	768	384	1.0	sum	207	CAGE:Fibroblast - Aortic Adventitial,	cage	fantom	fantom	+
208	CNhs10875+	path/to/data/coverage+.w5	768	384	1.0	sum	209	CAGE:Intestinal epithelial cells (polarized),	cage	fantom	fantom	+
210	CNhs12064+	path/to/data/coverage+.w5	768	384	1.0	sum	211	CAGE:Anulus Pulposus Cell,	cage	fantom	fantom	+
212	CNhs10877+	path/to/data/coverage+.w5	768	384	1.0	sum	213	CAGE:Pancreatic stromal cells,	cage	fantom	fantom	+
214	CNhs10878+	path/to/data/coverage+.w5	768	384	1.0	sum	215	CAGE:Fibroblast - Pulmonary Artery,	cage	fantom	fantom	+
216	CNhs10879+	path/to/data/coverage+.w5	768	384	1.0	sum	217	CAGE:Keratinocyte - oral,	cage	fantom	fantom	+
218	CNhs10881+	path/to/data/coverage+.w5	768	384	1.0	sum	219	CAGE:Nucleus Pulposus Cell,	cage	fantom	fantom	+
220	CNhs10882+	path/to/data/coverage+.w5	768	384	1.0	sum	221	CAGE:Prostate Epithelial Cells (polarized),	cage	fantom	fantom	+
222	CNhs12015+	path/to/data/coverage+.w5	768	384	1.0	sum	223	CAGE:Prostate Stromal Cells,	cage	fantom	fantom	+
224	CNhs12016+	path/to/data/coverage+.w5	768	384	1.0	sum	225	CAGE:Small Airway Epithelial Cells,	cage	fantom	fantom	+
226	CNhs11045+	path/to/data/coverage+.w5	768	384	1.0	sum	227	CAGE:cord blood derived cell line:COBL-a untreated	cage	fantom	fantom	+
228	CNhs11046+	path/to/data/coverage+.w5	768	384	1.0	sum	229	CAGE:embryonic kidney cell line: HEK293/SLAM untreated	cage	fantom	fantom	+
230	CNhs11047+	path/to/data/coverage+.w5	768	384	1.0	sum	231	CAGE:embryonic kidney cell line: HEK293/SLAM infection, 24hr	cage	fantom	fantom	+
232	CNhs11049+	path/to/data/coverage+.w5	768	384	1.0	sum	233	CAGE:cord blood derived cell line:COBL-a 24h infection(-C)	cage	fantom	fantom	+
234	CNhs11050+	path/to/data/coverage+.w5	768	384	1.0	sum	235	CAGE:cord blood derived cell line:COBL-a 24h infection	cage	fantom	fantom	+
236	CNhs11969+	path/to/data/coverage+.w5	768	384	1.0	sum	237	CAGE:Adipocyte - breast,	cage	fantom	fantom	+
238	CNhs11052+	path/to/data/coverage+.w5	768	384	1.0	sum	239	CAGE:Preadipocyte - breast,	cage	fantom	fantom	+
240	CNhs12067+	path/to/data/coverage+.w5	768	384	1.0	sum	241	CAGE:Adipocyte - omental,	cage	fantom	fantom	+
242	CNhs11057+	path/to/data/coverage+.w5	768	384	1.0	sum	243	CAGE:Mesenchymal Stem Cells - Wharton's Jelly,	cage	fantom	fantom	+
244	CNhs11061+	path/to/data/coverage+.w5	768	384	1.0	sum	245	CAGE:Gingival epithelial cells,  (GEA11)	cage	fantom	fantom	+
246	CNhs11384+	path/to/data/coverage+.w5	768	384	1.0	sum	247	CAGE:Neural stem cells,	cage	fantom	fantom	+
248	CNhs11064+	path/to/data/coverage+.w5	768	384	1.0	sum	249	CAGE:Keratinocyte - epidermal,	cage	fantom	fantom	+
250	CNhs11902+	path/to/data/coverage+.w5	768	384	1.0	sum	251	CAGE:Preadipocyte - omental,	cage	fantom	fantom	+
252	CNhs12046+	path/to/data/coverage+.w5	768	384	1.0	sum	253	CAGE:Smooth Muscle Cells - Internal Thoracic Artery,	cage	fantom	fantom	+
254	CNhs11068+	path/to/data/coverage+.w5	768	384	1.0	sum	255	CAGE:Synoviocyte,	cage	fantom	fantom	+
256	CNhs11073+	path/to/data/coverage+.w5	768	384	1.0	sum	257	CAGE:Mast cell - stimulated,	cage	fantom	fantom	+
258	CNhs11912+	path/to/data/coverage+.w5	768	384	1.0	sum	259	CAGE:Fibroblast - skin spinal muscular atrophy,	cage	fantom	fantom	+
260	CNhs11075+	path/to/data/coverage+.w5	768	384	1.0	sum	261	CAGE:Whole blood (ribopure), , donation1	cage	fantom	fantom	+
262	CNhs11671+	path/to/data/coverage+.w5	768	384	1.0	sum	263	CAGE:Whole blood (ribopure), , donation2	cage	fantom	fantom	+
264	CNhs11382+	path/to/data/coverage+.w5	768	384	1.0	sum	265	CAGE:Mammary Epithelial Cell,	cage	fantom	fantom	+
266	CNhs11385+	path/to/data/coverage+.w5	768	384	1.0	sum	267	CAGE:Osteoblast,	cage	fantom	fantom	+
268	CNhs11079+	path/to/data/coverage+.w5	768	384	1.0	sum	269	CAGE:Placental Epithelial Cells,	cage	fantom	fantom	+
270	CNhs12038+	path/to/data/coverage+.w5	768	384	1.0	sum	271	CAGE:Preadipocyte - subcutaneous,	cage	fantom	fantom	+
272	CNhs11082+	path/to/data/coverage+.w5	768	384	1.0	sum	273	CAGE:Preadipocyte - visceral,	cage	fantom	fantom	+
274	CNhs12053+	path/to/data/coverage+.w5	768	384	1.0	sum	275	CAGE:Skeletal Muscle Cells,	cage	fantom	fantom	+
276	CNhs11984+	path/to/data/coverage+.w5	768	384	1.0	sum	277	CAGE:Skeletal muscle cells differentiated into Myotubes - multinucleated,	cage	fantom	fantom	+
278	CNhs11086+	path/to/data/coverage+.w5	768	384	1.0	sum	279	CAGE:Smooth Muscle Cells - Brachiocephalic,	cage	fantom	fantom	+
280	CNhs11087+	path/to/data/coverage+.w5	768	384	1.0	sum	281	CAGE:Smooth Muscle Cells - Carotid,	cage	fantom	fantom	+
282	CNhs11088+	path/to/data/coverage+.w5	768	384	1.0	sum	283	CAGE:Smooth Muscle Cells - Coronary Artery,	cage	fantom	fantom	+
284	CNhs11089+	path/to/data/coverage+.w5	768	384	1.0	sum	285	CAGE:Smooth Muscle Cells - Pulmonary Artery,	cage	fantom	fantom	+
286	CNhs12048+	path/to/data/coverage+.w5	768	384	1.0	sum	287	CAGE:Smooth Muscle Cells - Subclavian Artery,	cage	fantom	fantom	+
288	CNhs11091+	path/to/data/coverage+.w5	768	384	1.0	sum	289	CAGE:Smooth Muscle Cells - Umbilical Artery,	cage	fantom	fantom	+
290	CNhs12051+	path/to/data/coverage+.w5	768	384	1.0	sum	291	CAGE:Tracheal Epithelial Cells,	cage	fantom	fantom	+
292	CNhs11100+	path/to/data/coverage+.w5	768	384	1.0	sum	293	CAGE:ductal cell carcinoma cell line:KLM-1	cage	fantom	fantom	+
294	CNhs11245+	path/to/data/coverage+.w5	768	384	1.0	sum	295	CAGE:schwannoma cell line:HS-PSS, tech_	cage	fantom	fantom	+
296	CNhs11185+	path/to/data/coverage+.w5	768	384	1.0	sum	297	CAGE:glioblastoma cell line:A172, tech_	cage	fantom	fantom	+
298	CNhs11243+	path/to/data/coverage+.w5	768	384	1.0	sum	299	CAGE:prostate cancer cell line:PC-3	cage	fantom	fantom	+
300	CNhs11244+	path/to/data/coverage+.w5	768	384	1.0	sum	301	CAGE:synovial sarcoma cell line:HS-SY-II	cage	fantom	fantom	+
302	CNhs11247+	path/to/data/coverage+.w5	768	384	1.0	sum	303	CAGE:epithelioid sarcoma cell line:HS-ES-1	cage	fantom	fantom	+
304	CNhs11249+	path/to/data/coverage+.w5	768	384	1.0	sum	305	CAGE:endometrial stromal sarcoma cell line:OMC-9	cage	fantom	fantom	+
306	CNhs11250+	path/to/data/coverage+.w5	768	384	1.0	sum	307	CAGE:chronic myelogenous leukemia cell line:K562	cage	fantom	fantom	+
308	CNhs11251+	path/to/data/coverage+.w5	768	384	1.0	sum	309	CAGE:acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	cage	fantom	fantom	+
310	CNhs11252+	path/to/data/coverage+.w5	768	384	1.0	sum	311	CAGE:squamous cell carcinoma cell line:EC-GI-10	cage	fantom	fantom	+
312	CNhs11253+	path/to/data/coverage+.w5	768	384	1.0	sum	313	CAGE:acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	cage	fantom	fantom	+
314	CNhs11254+	path/to/data/coverage+.w5	768	384	1.0	sum	315	CAGE:melanoma cell line:G-361	cage	fantom	fantom	+
316	CNhs11255+	path/to/data/coverage+.w5	768	384	1.0	sum	317	CAGE:rectal cancer cell line:TT1TKB	cage	fantom	fantom	+
318	CNhs11256+	path/to/data/coverage+.w5	768	384	1.0	sum	319	CAGE:gall bladder carcinoma cell line:TGBC14TKB	cage	fantom	fantom	+
320	CNhs11257+	path/to/data/coverage+.w5	768	384	1.0	sum	321	CAGE:renal cell carcinoma cell line:TUHR10TKB	cage	fantom	fantom	+
322	CNhs11258+	path/to/data/coverage+.w5	768	384	1.0	sum	323	CAGE:myeloma cell line:PCM6	cage	fantom	fantom	+
324	CNhs11259+	path/to/data/coverage+.w5	768	384	1.0	sum	325	CAGE:ductal cell carcinoma cell line:MIA Paca2	cage	fantom	fantom	+
326	CNhs11260+	path/to/data/coverage+.w5	768	384	1.0	sum	327	CAGE:prostate cancer cell line:DU145	cage	fantom	fantom	+
328	CNhs11261+	path/to/data/coverage+.w5	768	384	1.0	sum	329	CAGE:transitional-cell carcinoma cell line:JMSU1	cage	fantom	fantom	+
330	CNhs11263+	path/to/data/coverage+.w5	768	384	1.0	sum	331	CAGE:mesothelioma cell line:ACC-MESO-1	cage	fantom	fantom	+
332	CNhs11264+	path/to/data/coverage+.w5	768	384	1.0	sum	333	CAGE:mesothelioma cell line:ACC-MESO-4	cage	fantom	fantom	+
334	CNhs11265+	path/to/data/coverage+.w5	768	384	1.0	sum	335	CAGE:bile duct carcinoma cell line:TFK-1	cage	fantom	fantom	+
336	CNhs11266+	path/to/data/coverage+.w5	768	384	1.0	sum	337	CAGE:endometrial carcinoma cell line:OMC-2	cage	fantom	fantom	+
338	CNhs11267+	path/to/data/coverage+.w5	768	384	1.0	sum	339	CAGE:retinoblastoma cell line:Y79	cage	fantom	fantom	+
340	CNhs11268+	path/to/data/coverage+.w5	768	384	1.0	sum	341	CAGE:Burkitt's lymphoma cell line:RAJI	cage	fantom	fantom	+
342	CNhs11269+	path/to/data/coverage+.w5	768	384	1.0	sum	343	CAGE:rhabdomyosarcoma cell line:RMS-YM	cage	fantom	fantom	+
344	CNhs11270+	path/to/data/coverage+.w5	768	384	1.0	sum	345	CAGE:signet ring carcinoma cell line:NUGC-4	cage	fantom	fantom	+
346	CNhs11271+	path/to/data/coverage+.w5	768	384	1.0	sum	347	CAGE:hepatoma cell line:Li-7	cage	fantom	fantom	+
348	CNhs11272+	path/to/data/coverage+.w5	768	384	1.0	sum	349	CAGE:glioblastoma cell line:T98G	cage	fantom	fantom	+
350	CNhs11273+	path/to/data/coverage+.w5	768	384	1.0	sum	351	CAGE:squamous cell lung carcinoma cell line:EBC-1	cage	fantom	fantom	+
352	CNhs11274+	path/to/data/coverage+.w5	768	384	1.0	sum	353	CAGE:giant cell carcinoma cell line:LU65	cage	fantom	fantom	+
354	CNhs11275+	path/to/data/coverage+.w5	768	384	1.0	sum	355	CAGE:lung adenocarcinoma cell line:A549	cage	fantom	fantom	+
356	CNhs11276+	path/to/data/coverage+.w5	768	384	1.0	sum	357	CAGE:neuroblastoma cell line:CHP-134	cage	fantom	fantom	+
358	CNhs11277+	path/to/data/coverage+.w5	768	384	1.0	sum	359	CAGE:large cell lung carcinoma cell line:IA-LM	cage	fantom	fantom	+
360	CNhs11279+	path/to/data/coverage+.w5	768	384	1.0	sum	361	CAGE:osteosarcoma cell line:143B/TK^(-)neo^(R)	cage	fantom	fantom	+
362	CNhs11280+	path/to/data/coverage+.w5	768	384	1.0	sum	363	CAGE:colon carcinoma cell line:CACO-2	cage	fantom	fantom	+
364	CNhs11281+	path/to/data/coverage+.w5	768	384	1.0	sum	365	CAGE:melanoma cell line:COLO 679	cage	fantom	fantom	+
366	CNhs11282+	path/to/data/coverage+.w5	768	384	1.0	sum	367	CAGE:acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	cage	fantom	fantom	+
368	CNhs11283+	path/to/data/coverage+.w5	768	384	1.0	sum	369	CAGE:cholangiocellular carcinoma cell line:HuH-28	cage	fantom	fantom	+
370	CNhs11284+	path/to/data/coverage+.w5	768	384	1.0	sum	371	CAGE:neuroblastoma cell line:NB-1	cage	fantom	fantom	+
372	CNhs11285+	path/to/data/coverage+.w5	768	384	1.0	sum	373	CAGE:small cell lung carcinoma cell line:LK-2	cage	fantom	fantom	+
374	CNhs11286+	path/to/data/coverage+.w5	768	384	1.0	sum	375	CAGE:gastric cancer cell line:AZ521	cage	fantom	fantom	+
376	CNhs11287+	path/to/data/coverage+.w5	768	384	1.0	sum	377	CAGE:oral squamous cell carcinoma cell line:HO-1-u-1	cage	fantom	fantom	+
378	CNhs11288+	path/to/data/coverage+.w5	768	384	1.0	sum	379	CAGE:cervical cancer cell line:D98-AH2	cage	fantom	fantom	+
380	CNhs11289+	path/to/data/coverage+.w5	768	384	1.0	sum	381	CAGE:cervical cancer cell line:ME-180	cage	fantom	fantom	+
382	CNhs11290+	path/to/data/coverage+.w5	768	384	1.0	sum	383	CAGE:osteosarcoma cell line:HS-Os-1	cage	fantom	fantom	+
